,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-24 21:16:00+00:00,123.75,123.75,120.9,123.7,11010.0
1,1,2023-05-24 21:17:00+00:00,123.68,123.73,123.68,123.73,1423.0
2,2,2023-05-24 21:18:00+00:00,123.75,123.86,123.73,123.81,5409.0
3,3,2023-05-24 21:19:00+00:00,123.8,123.89,123.74,123.8,1085.0
4,4,2023-05-24 21:20:00+00:00,123.83,123.84,123.78,123.8,2018.0
5,5,2023-05-24 21:21:00+00:00,123.8,124.05,123.79,123.95,13047.0
6,6,2023-05-24 21:22:00+00:00,123.95,124.28,123.93,124.25,22768.0
7,7,2023-05-24 21:23:00+00:00,124.15,124.17,124.0,124.02,3923.0
8,8,2023-05-24 21:24:00+00:00,124.07,124.12,124.0,124.0,1882.0
9,9,2023-05-24 21:25:00+00:00,124.1,124.1,123.75,123.75,4979.0
