,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-11 08:00:00+00:00,169.06,169.69,168.45,169.26,12398.0
1,1,2023-05-11 08:05:00+00:00,169.2,169.29,169.14,169.22,4999.0
2,2,2023-05-11 08:10:00+00:00,169.26,169.39,169.26,169.36,2460.0
3,3,2023-05-11 08:15:00+00:00,169.35,169.56,169.35,169.5,3048.0
4,4,2023-05-11 08:20:00+00:00,169.54,169.6,169.5,169.58,4469.0
5,5,2023-05-11 08:25:00+00:00,169.58,169.69,169.48,169.5,7908.0
6,6,2023-05-11 08:30:00+00:00,169.5,169.7,169.5,169.7,2864.0
7,7,2023-05-11 08:35:00+00:00,169.72,169.72,169.5,169.54,2072.0
8,8,2023-05-11 08:40:00+00:00,169.53,169.61,169.5,169.5,745.0
9,9,2023-05-11 08:45:00+00:00,169.46,169.54,169.46,169.54,715.0
