,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-05-11 08:00:00+00:00,173.42,173.99,173.42,173.92,3024.0
1,1,2023-05-11 08:05:00+00:00,173.86,173.92,173.86,173.91,1503.0
2,2,2023-05-11 08:10:00+00:00,173.89,173.94,173.89,173.94,2127.0
3,3,2023-05-11 08:15:00+00:00,173.95,173.95,173.93,173.93,913.0
4,4,2023-05-11 08:20:00+00:00,173.93,173.93,173.93,173.93,0.0
5,5,2023-05-11 08:25:00+00:00,173.93,173.93,173.93,173.93,0.0
6,6,2023-05-11 08:30:00+00:00,173.93,173.93,173.93,173.93,0.0
7,7,2023-05-11 08:35:00+00:00,173.83,173.83,173.81,173.81,309.0
8,8,2023-05-11 08:40:00+00:00,173.81,173.81,173.81,173.81,0.0
9,9,2023-05-11 08:45:00+00:00,173.73,173.73,173.73,173.73,135.0
