,Unnamed: 0,date,open,high,low,close,volume
0,0,2023-02-02 09:00:00+00:00,104.41,104.63,104.08,104.14,36928.0
1,1,2023-02-02 09:30:00+00:00,104.25,104.57,104.18,104.54,7393.0
2,2,2023-02-02 10:00:00+00:00,104.48,104.75,104.35,104.41,20556.0
3,3,2023-02-02 10:30:00+00:00,104.54,104.61,104.35,104.4,19136.0
4,4,2023-02-02 11:00:00+00:00,104.44,104.59,104.25,104.58,8618.0
5,5,2023-02-02 11:30:00+00:00,104.54,104.79,104.45,104.66,23111.0
6,6,2023-02-02 12:00:00+00:00,104.68,105.36,104.66,104.82,91794.0
7,7,2023-02-02 12:30:00+00:00,104.92,105.31,104.8,105.15,62661.0
8,8,2023-02-02 13:00:00+00:00,104.89,105.34,104.0,105.2,258309.0
9,9,2023-02-02 13:30:00+00:00,105.15,105.8,105.1,105.7,142361.0
